assignment,duedate,timestamp,student_id,last_name,first_name,email,raw_score,late_submission_penalty,score,max_score
ads_assignment_1,,,theresanadler,,,,0.0,0.0,0.0,1.0
ads_assignment_1,,,moestenfau,,,,0.0,0.0,0.0,1.0
ads_assignment_1,,,lucaabel,,,,0.0,0.0,0.0,1.0
ads_assignment_1,,,moesten,,,,0.0,0.0,0.0,1.0
ads_assignment_1,,,AhmedSofan10,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,Ashikluffy,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,Chamutalcast,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,Dan-github16,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,EmilyKratsch,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,FA-538,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,Gschosi,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,Jonas185,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,KayranX,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,LinusRac,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,Lukaaaa13,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,MakitaNdunguru,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,Melina2312,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,MichaelaHofmann,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,MokshaVora29,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,NTKL,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,NavalMor,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,Olgaspice,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,PaulaLim,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,Pei-HanJiang,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,SusanneMa,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,abdallaheid00,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,abdulmoeed786-ger,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,aleemfau,,,,0.0,0.0,0.0,1.0
ads_assignment_1,,,charlottewiebecke,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,deerson2,,,,0.0,0.0,0.0,1.0
ads_assignment_1,,,felihauck,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,h4xl33t,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,konichua,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,ksfjfo,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,lamteteeow,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,leopotato721,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,luzrch,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,ly87muro,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,michi1248,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,miculm,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,nickrpr,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,niculinadragan,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,nilamrajakk311,,,,0.0,0.0,0.0,1.0
ads_assignment_1,,,nurulkabir99,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,osddq,,,,1.0,0.0,1.0,1.0
ads_assignment_1,,,priyam1504,,,,1.0,0.0,1.0,1.0
