assignment,duedate,timestamp,student_id,last_name,first_name,email,raw_score,late_submission_penalty,score,max_score
04_python_basics_III,,,theresanadler,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,moestenfau,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,lucaabel,,,,6.5,0.0,6.5,10.0
04_python_basics_III,,,moesten,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,AhmedSofan10,,,,8.0,0.0,8.0,10.0
04_python_basics_III,,,Ashikluffy,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,Chamutalcast,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,Dan-github16,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,EmilyKratsch,,,,6.0,0.0,6.0,10.0
04_python_basics_III,,,FA-538,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,Gschosi,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,Jonas185,,,,5.0,0.0,5.0,10.0
04_python_basics_III,,,KayranX,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,LinusRac,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,Lukaaaa13,,,,9.5,0.0,9.5,10.0
04_python_basics_III,,,MakitaNdunguru,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,Melina2312,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,MichaelaHofmann,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,MokshaVora29,,,,8.0,0.0,8.0,10.0
04_python_basics_III,,,NTKL,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,NavalMor,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,Olgaspice,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,PaulaLim,,,,9.5,0.0,9.5,10.0
04_python_basics_III,,,Pei-HanJiang,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,SusanneMa,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,abdallaheid00,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,abdulmoeed786-ger,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,aleemfau,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,charlottewiebecke,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,deerson2,,,,8.0,0.0,8.0,10.0
04_python_basics_III,,,felihauck,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,h4xl33t,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,konichua,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,ksfjfo,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,lamteteeow,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,leopotato721,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,luzrch,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,ly87muro,,,,9.5,0.0,9.5,10.0
04_python_basics_III,,,michi1248,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,miculm,,,,4.0,0.0,4.0,10.0
04_python_basics_III,,,nickrpr,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,niculinadragan,,,,3.0,0.0,3.0,10.0
04_python_basics_III,,,nilamrajakk311,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,nurulkabir99,,,,10.0,0.0,0.0,10.0
04_python_basics_III,,,osddq,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,priyam1504,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,raihansaa,,,,10.0,0.0,10.0,10.0
04_python_basics_III,,,skbabeer,,,,0.0,0.0,0.0,10.0
04_python_basics_III,,,smokemh,,,,0.0,0.0,0.0,10.0
