assignment,duedate,timestamp,student_id,last_name,first_name,email,raw_score,late_submission_penalty,score,max_score
0-setup,,,moesten,,,,1.0,0.0,1.0,1.0
0-setup,,,236de,,,,1.0,0.0,1.0,1.0
0-setup,,,Akhil378,,,,1.0,0.0,1.0,1.0
0-setup,,,AlagieK,,,,1.0,0.0,1.0,1.0
0-setup,,,AnMei2000,,,,1.0,0.0,1.0,1.0
0-setup,,,Anjanapmaya,,,,1.0,0.0,1.0,1.0
0-setup,,,Arnavthakur26,,,,1.0,0.0,1.0,1.0
0-setup,,,AshishMehtaAI,,,,1.0,0.0,1.0,1.0
0-setup,,,AshitaD2327,,,,1.0,0.0,1.0,1.0
0-setup,,,Bhaskar19chowdary,,,,1.0,0.0,1.0,1.0
0-setup,,,Bruce-sts,,,,1.0,0.0,1.0,1.0
0-setup,,,CC211129,,,,1.0,0.0,1.0,1.0
0-setup,,,Cecilia-g24,,,,1.0,0.0,1.0,1.0
0-setup,,,CharithaRamaiah,,,,1.0,0.0,1.0,1.0
0-setup,,,ChrisZhou24,,,,1.0,0.0,1.0,1.0
0-setup,,,CodeByVignesh,,,,1.0,0.0,1.0,1.0
0-setup,,,ConstantinHennig,,,,1.0,0.0,1.0,1.0
0-setup,,,Crazz-Zaac,,,,1.0,0.0,1.0,1.0
0-setup,,,CryptoAyush,,,,1.0,0.0,1.0,1.0
0-setup,,,DatNguyen2106,,,,1.0,0.0,1.0,1.0
0-setup,,,DeekshaPingalay,,,,1.0,0.0,1.0,1.0
0-setup,,,DhaleemaDavis,,,,0.0,0.0,0.0,1.0
0-setup,,,Dirrrrrk,,,,1.0,0.0,1.0,1.0
0-setup,,,Disha016,,,,1.0,0.0,1.0,1.0
0-setup,,,Earora2,,,,1.0,0.0,1.0,1.0
0-setup,,,Faizan-Nabi,,,,1.0,0.0,1.0,1.0
0-setup,,,FawadAhmed322,,,,1.0,0.0,1.0,1.0
0-setup,,,FranChristbaum,,,,1.0,0.0,1.0,1.0
0-setup,,,Frederick-tharun,,,,0.0,0.0,0.0,1.0
0-setup,,,HoangAnhNhamGia,,,,1.0,0.0,1.0,1.0
