student_id,total_score
236de,75.0
Akhil378,85.5
AlagieK,40.5
AnMei2000,56.0
Anjanapmaya,26.0
Arnavthakur26,75.0
AshishMehtaAI,75.0
AshitaD2327,9.0
Bhaskar19chowdary,85.5
Bruce-sts,64.0
CC211129,73.5
Cecilia-g24,86.0
CharithaRamaiah,82.0
ChrisZhou24,86.0
CodeByVignesh,83.0
ConstantinHennig,86.0
Crazz-Zaac,80.0
CryptoAyush,55.0
DatNguyen2106,86.0
DeekshaPingalay,84.5
DhaleemaDavis,18.0
Dirrrrrk,82.5
Disha016,9.0
Earora2,62.0
Faizan-Nabi,76.0
FawadAhmed322,43.0
FranChristbaum,78.0
Frederick-tharun,0.0
GurnoorDhingra,0.0
Hemachandran0110,58.0
HoangAnhNhamGia,29.0
Jeevanstephen,0.0
Joshi-Nandini,70.0
Kanwardeep-Singh,76.0
KhaledShata,86.0
KimiaTavoosi,74.5
KositzRu,9.0
Krithikav305,19.0
Kshitij741,86.0
LakshmiNarayanan2003,85.0
MSWatto,81.5
MeDietrich,73.0
MichaelL29,32.0
MinsuSeo-FAU,86.0
MoeenHaider,1.0
MridulSaraf,72.0
MutualExemplar,49.0
NASRINSHAHIDIZANDI,74.0
NEELESH3112,86.0
PrateekNish20,0.0
Ranjane-Harsh,1.0
RevathiBandi,70.0
RithvikAvula4010,81.0
RizhavaKotka,57.0
Roshni160,21.0
SHAHRIFAT,19.0
Sa3ed1907,71.5
Sadiya-Yesmin,59.0
SahanaByregowda,0.0
SamanehKeshavarz,18.0
SanaNazerian,72.0
Shalaleh,61.0
Sharmin-12,1.0
ShiYanfau,71.0
Shokoofeh-kh,83.0
SophieKoe,80.5
StonageBanana,73.0
Subashchandar27,55.0
Subitha-Murugesan,83.0
TMP1377,0.0
TheMightyRaider,82.5
Uditsurajsingh,9.0
Vanshika-01,83.0
Vibhugupta10616,71.0
Vishal-21x,10.0
Wajahatabbas5,30.0
YasirMukhtar33,65.0
YongzhenNiu,82.0
Zhang-Xinyue12,83.0
ZhenL233,80.5
aafiakhalid5,18.0
aditisinghxd,82.0
akhilsuresh15,52.0
andreanl16,40.0
anikiwi,73.0
anniquetapha,73.0
anshulmeow,67.0
archinaasha,73.0
arne10001,72.0
arshamelettu,29.0
aryan-singh97,39.0
ashwin-159-nair,72.0
bhavankumar2911,19.0
bhumi223344,18.5
brainybeam,73.0
deepanshtripathi,73.0
developerajesh95,22.0
dhayeah,73.0
dipesh-m,83.0
divya-dan,73.0
erfan-yousefi,63.5
evisakkou,48.5
fahad03,39.0
fanalis93,46.5
fe54pebo,61.5
gi07qeju,1.0
gi60wedo,73.0
gloombob,72.0
hasnainhawlader,0.0
heenas085,55.0
herrabdulbasit,9.0
hyeeun316,73.0
iZainAsif,9.0
jonaskunick,60.0
julsatlink,58.0
kaliche1,62.0
karthiga36,51.5
kinshuk-ds,72.0
kolesovakate,32.0
lxsa-kls,21.0
m-pulkit,9.0
mahmoudhanfi,1.0
md-touhidur-rahman,73.0
meharab004,1.0
melissakdgnfau,58.0
menaja12,48.5
mersadsh,0.0
mhpolas,19.0
micky-15,58.5
mirza019,73.0
moesten,1.0
mohityadav001,72.0
nhgpm,73.0
nola-mrv,9.0
noumanaiondigital,72.0
officialak-24,73.0
poojadinesh99,9.0
prachuryanath,0.0
punithsaireddy,73.0
rajeshroyal55,9.0
rashakil-ds,63.0
reneederer,9.0
sahil-sharma-50,11.0
sai-sasidhar,59.0
saif724346,73.0
sajadul-d,43.0
sajiasidz,71.0
shivamzala,9.0
siddharthvishnu01,50.0
sinamoradi,0.0
snath47,0.0
sohansorker,1.0
tosiful,85.5
uttej2001,69.0
vaibhavk69,64.0
vasanth418,0.0
wasiiik,41.0
yeasin-shampod,72.5
yy-0715,63.0
yz32ityd,53.5
